instances/J100M10
instances/J100M10/J100M10N1
GRASP_NEH,8454,0.984051
instances/J100M20/J100M20N9
NEH,8325,0.465411
PF,8459,6.024
PF_NEH,8319,5.30769
PFT,8485,4.88386
PFT_NEH,8323,5.45138
LPT,9197,0.027313
MinMax,8938,0.987562
mNEH,8224,0.447281
PW,8586,1.70417
GRASP_NEH,8310,1.05226
instances/J100M5
instances/J100M5/J100M5N1
NEH,6701,0.212945
PF,6273,1.66663
PF_NEH,6725,1.79935
PFT,6349,1.68492
PFT_NEH,6709,1.87353
LPT,7618,0.02748
MinMax,6794,0.262254
mNEH,6670,0.178568
PW,6346,0.792611
GRASP_NEH,6444,0.558971
instances/J100M5/J100M5N10
NEH,6634,0.349355
PF,6489,3.00365
PF_NEH,6510,3.28084
PFT,6432,3.16604
PFT_NEH,6496,3.95163
LPT,7689,0.040576
MinMax,6801,0.474948
mNEH,6573,0.246708
PW,6432,1.3933
GRASP_NEH,6490,0.913092
instances/J100M5/J100M5N2
NEH,6519,0.311659
PF,6291,3.15467
PF_NEH,6418,3.45374
PFT,6285,3.23098
PFT_NEH,6387,3.55652
LPT,7435,0.041592
MinMax,6589,0.440805
mNEH,6514,0.281878
PW,6276,1.34701
GRASP_NEH,6417,0.905979
instances/J100M5/J100M5N3
NEH,6354,0.205598
PF,6267,1.66218
PF_NEH,6293,2.34173
PFT,6200,1.80386
PFT_NEH,6337,2.40719
LPT,7473,0.026575
MinMax,6508,0.256273
mNEH,6349,0.189288
PW,6115,0.712856
GRASP_NEH,6251,0.677937
instances/J100M5/J100M5N4
NEH,6237,0.203748
PF,5980,1.63232
PF_NEH,6124,1.93077
PFT,5979,1.69713
PFT_NEH,6054,2.30497
LPT,7282,0.059368
MinMax,6414,0.517539
mNEH,6190,0.24773
PW,5947,1.39613
GRASP_NEH,6121,1.03111
instances/J100M5/J100M5N5
NEH,6471,0.208739
PF,6276,1.66018
PF_NEH,6340,1.8164
PFT,6258,1.7059
PFT_NEH,6292,1.88578
LPT,7400,0.027355
MinMax,6648,0.257001
mNEH,6440,0.163399
PW,6227,0.747904
GRASP_NEH,6287,0.53484
instances/J100M5/J100M5N6
NEH,6435,0.276945
PF,6181,1.816
PF_NEH,6249,1.97252
PFT,6024,2.29293
PFT_NEH,6281,2.22883
LPT,7204,0.029584
MinMax,6522,0.257929
mNEH,6397,0.183066
PW,6082,0.719428
GRASP_NEH,6225,0.630918
instances/J100M5/J100M5N7
NEH,6517,0.402052
PF,6417,3.40067
PF_NEH,6427,3.38718
PFT,6249,3.59469
PFT_NEH,6376,3.90162
LPT,7459,0.075405
MinMax,6788,0.462052
mNEH,6500,0.379783
PW,6274,1.00761
GRASP_NEH,6345,0.532634
instances/J100M5/J100M5N8
NEH,6285,0.210094
PF,6191,2.68683
PF_NEH,6323,3.92861
PFT,6126,3.5617
PFT_NEH,6283,3.99083
LPT,7589,0.079618
MinMax,6352,0.481187
mNEH,6356,0.25957
PW,6201,1.10319
GRASP_NEH,6344,0.988707
instances/J100M5/J100M5N9
NEH,6667,0.328679
PF,6384,3.49015
PF_NEH,6605,2.49553
PFT,6311,2.90959
PFT_NEH,6572,3.37947
LPT,7612,0.039515
MinMax,6740,0.480973
mNEH,6599,0.28383
PW,6403,1.14595
GRASP_NEH,6596,0.71127
instances/J200M10
instances/J200M10/J200M10N1
NEH,14536,1.10234
PF,13712,25.4535
PF_NEH,14265,24.3626
PFT,13633,23.4739
PFT_NEH,14235,24.97
LPT,16092,0.082988
MinMax,14763,2.34949
mNEH,14388,0.974632
PW,13703,4.3586
GRASP_NEH,14138,2.61483
instances/J200M10/J200M10N10
NEH,14506,1.45826
PF,13798,21.32
PF_NEH,14394,20.308
PFT,13927,20.6786
PFT_NEH,14448,20.3674
LPT,16197,0.074776
MinMax,14925,1.83376
mNEH,14391,0.897001
PW,13787,3.67661
GRASP_NEH,14331,2.46973
instances/J200M10/J200M10N2
NEH,14438,1.61429
PF,13659,21.1882
PF_NEH,14017,20.3571
PFT,13734,19.2781
PFT_NEH,14001,20.5296
LPT,16597,0.074146
MinMax,14777,1.83154
mNEH,14222,0.889485
PW,13766,3.63137
GRASP_NEH,14068,2.44672
instances/J200M10/J200M10N3
NEH,14408,1.5314
PF,13671,20.5994
PF_NEH,14250,20.0168
PFT,13985,19.0097
PFT_NEH,14259,19.8769
LPT,16217,0.087498
MinMax,14956,1.9461
mNEH,14252,0.895292
PW,13986,3.60511
GRASP_NEH,14116,2.49931
instances/J200M10/J200M10N4
NEH,14453,1.51149
PF,13901,20.2181
PF_NEH,14158,20.0779
PFT,13859,19.5162
PFT_NEH,14161,22.3633
LPT,16224,0.083478
MinMax,14514,2.00398
mNEH,14267,0.918907
PW,13859,3.91859
GRASP_NEH,14063,3.0484
instances/J200M10/J200M10N5
NEH,14319,1.34573
PF,13809,22.3298
PF_NEH,14155,22.5423
PFT,13928,20.6418
PFT_NEH,14149,22.3666
LPT,16321,0.100667
MinMax,15319,2.03381
mNEH,14207,0.883083
PW,13824,4.30099
GRASP_NEH,14311,2.9082
instances/J200M10/J200M10N6
NEH,14181,1.10185
PF,13535,21.5825
PF_NEH,14064,22.3983
PFT,13279,21.5869
PFT_NEH,14110,21.8201
LPT,16278,0.07673
MinMax,14658,2.21089
mNEH,13989,0.930147
PW,13450,3.73299
GRASP_NEH,14091,3.23216
instances/J200M10/J200M10N7
NEH,14569,1.19176
PF,14115,22.0478
PF_NEH,14531,22.2631
PFT,14020,21.0099
PFT_NEH,14503,21.4792
LPT,16703,0.080352
MinMax,15017,2.00818
mNEH,14496,0.922195
PW,13793,3.92542
GRASP_NEH,14431,2.86945
instances/J200M10/J200M10N8
NEH,14606,1.05018
PF,13968,21.0587
PF_NEH,14304,21.6652
PFT,13921,20.7257
PFT_NEH,14352,21.1579
LPT,16343,0.076217
MinMax,14904,2.03874
mNEH,14368,0.943648
PW,13965,3.64868
GRASP_NEH,14393,3.00088
instances/J200M10/J200M10N9
NEH,14220,1.08137
PF,13930,21.8215
PF_NEH,14145,22.3462
PFT,13867,21.6484
PFT_NEH,14101,22.0074
LPT,16224,0.076458
MinMax,14636,1.92427
mNEH,14189,0.916162
PW,13883,4.07951
GRASP_NEH,13969,2.6978
instances/J200M20
instances/J200M20/J200M20N1
NEH,15614,1.70171
PF,15359,42.1526
PF_NEH,15495,41.757
PFT,15233,40.5274
PFT_NEH,15517,41.4716
LPT,17323,0.073868
MinMax,16347,4.19308
mNEH,15363,1.69889
PW,15246,7.00248
GRASP_NEH,15422,3.68742
instances/J200M20/J200M20N10
NEH,16008,1.73975
PF,15789,41.2248
PF_NEH,15719,42.1929
PFT,15638,37.8056
PFT_NEH,15857,38.5481
LPT,17646,0.07513
MinMax,16649,3.71516
mNEH,15678,1.55333
PW,15918,6.08584
GRASP_NEH,15707,3.73563
instances/J200M20/J200M20N2
NEH,15818,2.98924
PF,15671,38.3436
PF_NEH,15732,38.4887
