instance,iteration,initial_cost,final_cost,improvement_abs,improvement_pct,time_ms,time_limit_ms,note
J200M5N1,5,15790,12749,3041,19.259,67.4685,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J200M10N1,1,16855,14180,2675,15.8707,138.5,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J200M10N1,2,16855,14180,2675,15.8707,139.47,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J200M10N1,3,16855,14180,2675,15.8707,139.485,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J200M10N1,4,16855,14180,2675,15.8707,139.613,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J200M10N1,5,16855,14180,2675,15.8707,140.753,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J200M20N1,1,17521,15380,2141,12.2196,565.812,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=4
J200M20N1,2,17521,15380,2141,12.2196,565.442,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=4
J200M20N1,3,17521,15380,2141,12.2196,566.777,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=4
J200M20N1,4,17521,15380,2141,12.2196,564.869,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=4
J200M20N1,5,17521,15380,2141,12.2196,565.157,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=4
J500M5N1,1,38991,31073,7918,20.3073,1075.06,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M5N1,2,38991,31073,7918,20.3073,1070.69,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M5N1,3,38991,31073,7918,20.3073,1071.31,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M5N1,4,38991,31073,7918,20.3073,1070.06,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M5N1,5,38991,31073,7918,20.3073,1070.4,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M10N1,1,41294,35274,6020,14.5784,1943.6,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M10N1,2,41294,35274,6020,14.5784,1942.2,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M10N1,3,41294,35274,6020,14.5784,1946.32,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M10N1,4,41294,35274,6020,14.5784,1945.31,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M10N1,5,41294,35274,6020,14.5784,1951.6,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=2
J500M20N1,1,43146,38172,4974,11.5283,2631.78,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=1
J500M20N1,2,43146,38172,4974,11.5283,2643.76,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=1
J500M20N1,3,43146,38172,4974,11.5283,2602.8,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=1
J500M20N1,4,43146,38172,4974,11.5283,2653.51,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=1
J500M20N1,5,43146,38172,4974,11.5283,2660.25,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug; passes=1
