instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J100M20N1,1,8254,7801,1140,1044,25.9596,2000.84,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J100M20N1,2,8254,7801,1141,1044,25.9483,2000.49,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J100M20N1,3,8254,7801,1145,1044,25.9825,2001.73,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J100M20N1,4,8254,7801,1140,1044,25.9596,2000.51,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J100M20N1,5,8254,7801,1142,1044,26.007,2001.61,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M5N1,1,12777,12025,1043,1036,13.233,2000.35,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M5N1,2,12777,12025,1044,1036,13.2203,2001.05,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M5N1,3,12777,12025,1041,1036,13.2094,2002.58,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M5N1,4,12777,12025,1041,1036,13.2094,2002.43,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M5N1,5,12777,12025,1041,1036,13.2094,2001.08,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M10N1,1,14235,13516,542,477,21.9834,2000.34,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M10N1,2,14235,13516,541,477,22.0037,2000.56,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M10N1,3,14235,13516,543,477,21.9926,2002.87,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M10N1,4,14235,13516,541,477,22.0037,2001.43,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M10N1,5,14235,13516,542,477,21.9834,2001.27,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M20N1,1,15517,14951,289,286,23.2249,2006.29,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M20N1,2,15517,14951,289,286,23.2249,2013.61,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M20N1,3,15517,14951,289,286,23.2249,2010.58,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M20N1,4,15517,14951,289,286,23.2249,2013.26,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J200M20N1,5,15517,14951,289,286,23.2249,2008.6,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M5N1,1,28876,28747,173,88,10.2717,2006.39,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M5N1,2,28876,28747,175,88,10.2743,2009.24,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M5N1,3,28876,28747,175,88,10.2743,2010.89,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M5N1,4,28876,28747,175,88,10.2743,2011.26,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M5N1,5,28876,28747,175,88,10.2743,2010.27,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M10N1,1,32679,32411,106,57,12.9434,2009.45,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M10N1,2,32679,32411,107,57,12.8224,2002.37,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M10N1,3,32679,32411,107,57,12.8224,2004.62,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M10N1,4,32679,32411,104,57,13.1538,2021.79,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M10N1,5,32679,32411,106,57,12.9434,2002.89,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M20N1,1,36188,35808,43,42,29.6512,2029.09,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M20N1,2,36188,35808,43,42,29.6512,2035.79,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M20N1,3,36188,35808,43,42,29.6512,2020.12,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M20N1,4,36188,35808,43,42,29.6512,2033.87,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
J500M20N1,5,36188,35808,43,42,29.6512,2029.62,2000,jp=0.001000 - reproduces vanilla IG_IJ's own local-search step (baseline)
