instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J200M20N1,5,15517,15092,57,49,30.7193,2069.86,2000,per-call burst of 20.000000ms
J500M5N1,1,28876,28667,37,35,10.3514,2151.7,2000,per-call burst of 20.000000ms
J500M5N1,2,28876,28667,37,35,10.3514,2147.54,2000,per-call burst of 20.000000ms
J500M5N1,3,28876,28667,37,35,10.3514,2151.03,2000,per-call burst of 20.000000ms
J500M5N1,4,28876,28667,37,35,10.3514,2149.29,2000,per-call burst of 20.000000ms
J500M5N1,5,28876,28667,37,35,10.3514,2156.27,2000,per-call burst of 20.000000ms
J500M10N1,1,32679,32459,70,69,9.74286,2019.21,2000,per-call burst of 20.000000ms
J500M10N1,2,32679,32459,70,69,9.74286,2004.4,2000,per-call burst of 20.000000ms
J500M10N1,3,32679,32459,70,69,9.74286,2004.23,2000,per-call burst of 20.000000ms
J500M10N1,4,32679,32459,70,69,9.74286,2002.04,2000,per-call burst of 20.000000ms
J500M10N1,5,32679,32459,70,69,9.74286,2004.32,2000,per-call burst of 20.000000ms
J500M20N1,1,36188,35948,81,77,6.4321,2021.11,2000,per-call burst of 20.000000ms
J500M20N1,2,36188,35948,83,77,6.55422,2013.1,2000,per-call burst of 20.000000ms
J500M20N1,3,36188,35948,83,77,6.55422,2015.03,2000,per-call burst of 20.000000ms
J500M20N1,4,36188,35948,83,77,6.55422,2026.36,2000,per-call burst of 20.000000ms
J500M20N1,5,36188,35948,82,77,6.43902,2007.54,2000,per-call burst of 20.000000ms
