instance,iteration,initial_cost,final_best_cost,n_calls,call_of_best,avg_improvement_per_call,time_ms,time_limit_ms,note
J100M20N1,5,8254,7876,111,105,32.3874,2004.13,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M5N1,1,12777,12314,62,55,22.4677,2022.73,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M5N1,2,12777,12314,62,55,22.4677,2027.77,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M5N1,3,12777,12314,62,55,22.4677,2021.85,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M5N1,4,12777,12314,62,55,22.4677,2027.72,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M5N1,5,12777,12314,62,55,22.4677,2021,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M10N1,1,14235,13742,28,16,43.4643,2022,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M10N1,2,14235,13742,28,16,43.4643,2024.02,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M10N1,3,14235,13742,28,16,43.4643,2024.13,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M10N1,4,14235,13742,28,16,43.4643,2021.43,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M10N1,5,14235,13742,28,16,43.4643,2023.68,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M20N1,1,15517,15156,14,8,47.5,2133.83,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M20N1,2,15517,15156,14,8,47.5,2142.12,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M20N1,3,15517,15156,14,8,47.5,2136.84,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M20N1,4,15517,15156,14,8,47.5,2136.11,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J200M20N1,5,15517,15156,14,8,47.5,2137.88,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M5N1,1,28876,28791,4,1,25,2064.77,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M5N1,2,28876,28791,4,1,25,2058.41,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M5N1,3,28876,28791,4,1,25,2061.12,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M5N1,4,28876,28791,4,1,25,2062.17,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M5N1,5,28876,28791,4,1,25,2054.66,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M10N1,1,32679,32423,2,1,167.5,2556.04,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M10N1,2,32679,32423,2,1,167.5,2563.92,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M10N1,3,32679,32423,2,1,167.5,2569.08,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M10N1,4,32679,32423,2,1,167.5,2565.07,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M10N1,5,32679,32423,2,1,167.5,2566.63,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M20N1,1,36188,36188,1,0,319,2700.78,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M20N1,2,36188,36188,1,0,319,2692.56,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M20N1,3,36188,36188,1,0,319,2705.59,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M20N1,4,36188,36188,1,0,319,2700,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
J500M20N1,5,36188,36188,1,0,319,2690.57,2000,k=1 (best-swap-ig) is dead: see best-swap-ig's bug
