instance,naive_ms,accel_ms,factor,correct,note
J500M10N1,2787.19,6.56309,424.676,1,makespan=34670
J500M10N2,2771.71,6.30835,439.373,1,makespan=34980
J500M10N3,2796.5,6.33868,441.181,1,makespan=34672
J500M10N4,2805.65,6.99376,401.165,1,makespan=34985
J500M10N5,3291.25,6.5755,500.533,1,makespan=34536
J500M10N6,2835.7,6.11568,463.676,1,makespan=34870
J500M10N7,2833.79,7.68717,368.639,1,makespan=34665
J500M10N8,2779.21,6.14811,452.044,1,makespan=34941
J500M10N9,2781.66,6.42511,432.936,1,makespan=34812
J500M10N10,2766.24,6.31229,438.232,1,makespan=35004
J500M20N1,3541.25,10.9239,324.176,1,makespan=37626
J500M20N2,4259.89,11.5407,369.118,1,makespan=38030
J500M20N3,3527.33,10.947,322.217,1,makespan=37842
J500M20N4,3520.17,12.2614,287.093,1,makespan=38050
J500M20N5,4814.35,17.0831,281.82,1,makespan=37809
J500M20N6,3657.07,11.2625,324.711,1,makespan=38132
J500M20N7,3667.57,11.9318,307.379,1,makespan=37543
J500M20N8,3593.59,10.6242,338.246,1,makespan=37858
J500M20N9,3510.58,10.5736,332.013,1,makespan=37725
J500M20N10,3552.2,10.8786,326.531,1,makespan=38003
