instance,naive_ms,accel_ms,factor,correct,note
J200M5N8,48.2031,7.86978,6.12509,1,calls=2000
J200M5N9,48.3956,8.43949,5.73443,1,calls=2000
J200M5N10,48.0158,8.03938,5.97258,1,calls=2000
J200M10N1,55.0317,13.6902,4.01979,1,calls=2000
J200M10N2,55.1217,13.8633,3.97608,1,calls=2000
J200M10N3,55.6241,13.7903,4.03358,1,calls=2000
J200M10N4,54.1921,12.9292,4.19146,1,calls=2000
J200M10N5,54.2933,13.1656,4.12387,1,calls=2000
J200M10N6,54.4065,13.4924,4.03238,1,calls=2000
J200M10N7,54.6681,13.6095,4.01691,1,calls=2000
J200M10N8,54.1168,12.9456,4.18031,1,calls=2000
J200M10N9,54.2663,13.3527,4.06406,1,calls=2000
J200M10N10,55.5327,13.878,4.00148,1,calls=2000
J200M20N1,71.8549,26.2193,2.74054,1,calls=2000
J200M20N2,69.2951,24.5483,2.82281,1,calls=2000
J200M20N3,71.7341,26.8807,2.66861,1,calls=2000
J200M20N4,72.5976,27.3011,2.65914,1,calls=2000
J200M20N5,71.0113,25.8261,2.7496,1,calls=2000
J200M20N6,70.2595,25.2291,2.78486,1,calls=2000
J200M20N7,71.381,26.5035,2.69327,1,calls=2000
J200M20N8,71.4958,25.6631,2.78594,1,calls=2000
J200M20N9,71.4709,26.6583,2.681,1,calls=2000
J200M20N10,68.8468,24.3174,2.83118,1,calls=2000
J500M5N1,119.132,22.2357,5.3577,1,calls=2000
J500M5N2,118.797,21.3901,5.55383,1,calls=2000
J500M5N3,117.852,21.3946,5.5085,1,calls=2000
J500M5N4,118.506,21.8448,5.42488,1,calls=2000
J500M5N5,118.353,21.8318,5.42111,1,calls=2000
J500M5N6,128.154,23.2587,5.50996,1,calls=2000
J500M5N7,117.555,21.3892,5.49602,1,calls=2000
J500M5N8,118.6,21.6517,5.47764,1,calls=2000
J500M5N9,118.672,22.2011,5.34534,1,calls=2000
J500M5N10,118.917,21.6404,5.49514,1,calls=2000
J500M10N1,137.334,37.1472,3.69703,1,calls=2000
J500M10N2,136.67,35.9851,3.79795,1,calls=2000
J500M10N3,141.066,38.5917,3.65535,1,calls=2000
J500M10N4,157.553,39.3844,4.00038,1,calls=2000
J500M10N5,137.143,36.2536,3.78287,1,calls=2000
J500M10N6,138.707,36.5568,3.79428,1,calls=2000
J500M10N7,136.785,35.7022,3.83127,1,calls=2000
J500M10N8,138.385,36.0397,3.83979,1,calls=2000
J500M10N9,136.644,36.4745,3.7463,1,calls=2000
J500M10N10,138.488,37.8399,3.65985,1,calls=2000
J500M20N1,185.822,72.1506,2.57548,1,calls=2000
J500M20N2,190.47,76.0111,2.50582,1,calls=2000
J500M20N3,190.626,78.1927,2.43791,1,calls=2000
J500M20N4,356.647,100.883,3.53525,1,calls=2000
J500M20N5,206.369,82.8076,2.49215,1,calls=2000
J500M20N6,188.364,73.7901,2.5527,1,calls=2000
J500M20N7,184.87,71.0198,2.60308,1,calls=2000
J500M20N8,182.259,70.2784,2.59338,1,calls=2000
J500M20N9,189.789,74.8985,2.53395,1,calls=2000
J500M20N10,185.562,72.6349,2.55472,1,calls=2000
