instance,naive_ms,accel_ms,factor,correct,note
J200M10N4,258.427,33.1209,7.80254,1,makespan=16167
J200M10N5,256.33,32.4273,7.90473,1,makespan=16305
J200M10N6,255.197,32.5014,7.85189,1,makespan=15984
J200M10N7,254.788,32.7322,7.78402,1,makespan=16574
J200M10N8,254.882,32.4518,7.85417,1,makespan=16368
J200M10N9,254.269,32.0955,7.92228,1,makespan=16075
J200M10N10,256.298,32.5213,7.88092,1,makespan=16164
J200M20N1,322.775,68.6138,4.70423,1,makespan=17277
J200M20N2,326.519,67.3806,4.84589,1,makespan=17556
J200M20N3,328.273,67.6155,4.85499,1,makespan=17406
J200M20N4,325.824,68.9824,4.72329,1,makespan=17608
J200M20N5,322.758,66.7659,4.83417,1,makespan=17278
J200M20N6,327.09,66.6789,4.90545,1,makespan=17737
J200M20N7,323.807,66.9651,4.83546,1,makespan=17550
J200M20N8,330.482,67.333,4.90818,1,makespan=17526
J200M20N9,326.503,67.6517,4.82624,1,makespan=17135
J200M20N10,324.713,67.6289,4.80139,1,makespan=17534
J500M5N1,3598.26,308.779,11.6532,1,makespan=36908
J500M5N2,3603.02,309.967,11.6239,1,makespan=37139
J500M5N3,3589.45,308.258,11.6443,1,makespan=37005
J500M5N4,3582.18,309.347,11.5798,1,makespan=36853
J500M5N5,3587.66,308.995,11.6107,1,makespan=37267
J500M5N6,3641.51,309.193,11.7774,1,makespan=36976
J500M5N7,3586.61,308.432,11.6285,1,makespan=36916
J500M5N8,3576.75,306.51,11.6693,1,makespan=37101
J500M5N9,3592.64,311.405,11.5369,1,makespan=36938
J500M5N10,3609.75,308.193,11.7126,1,makespan=36881
J500M10N1,4079.41,570.011,7.15672,1,makespan=39700
J500M10N2,4130.74,569.306,7.25574,1,makespan=40224
J500M10N3,4115.54,571.575,7.20035,1,makespan=39830
J500M10N4,4627.85,574.072,8.06144,1,makespan=40322
J500M10N5,4443.22,591.446,7.51247,1,makespan=39913
J500M10N6,4135.61,575.44,7.18688,1,makespan=40190
J500M10N7,4222.82,574.605,7.34908,1,makespan=39983
J500M10N8,4155.86,572.594,7.25796,1,makespan=39713
J500M10N9,4168.01,573.79,7.264,1,makespan=40173
J500M10N10,4159.49,566.427,7.34339,1,makespan=40111
J500M20N1,5155.77,1131.66,4.55593,1,makespan=41835
J500M20N2,5713.01,1405.23,4.06552,1,makespan=42192
J500M20N3,5519.53,1165.83,4.73441,1,makespan=41868
J500M20N4,5196.91,1121.35,4.6345,1,makespan=42067
J500M20N5,6134.51,1649.95,3.718,1,makespan=41879
J500M20N6,5253.15,1125.77,4.66629,1,makespan=42510
J500M20N7,5309.31,1126.7,4.71226,1,makespan=41879
J500M20N8,5283.33,1185.52,4.45655,1,makespan=42328
J500M20N9,5351.92,1114.06,4.80396,1,makespan=42066
J500M20N10,5279.11,1190.79,4.43329,1,makespan=42256
